type,question,name,role,industry,sphere,agent_source,content_preview,score
answer,Which coworking spaces in Berlin are best for early-stage B2B startups?,Lukas Brandt,mentor,marketplace,B2B,mentor_matcher,"Factory Berlin is where deals get done. The hallway conversations are worth the ",4.80
answer,Which coworking spaces in Berlin are best for early-stage B2B startups?,Lukas Brandt,mentor,marketplace,B2B,mentor_matcher,For B2B startups: Factory Berlin (Mitte and Görlitzer Park) has the strongest st,4.70
answer,Which coworking spaces in Berlin are best for early-stage B2B startups?,Marek Sliwinski,champion,marketplace,B2B,champion_matcher,Also consider startup-specific offices in your industry vertical — some healthte,4.30
question,Which coworking spaces in Berlin are best for early-stage B2B startups?,Jonas Fuchs,founder,marketplace,B2B,null,Which coworking spaces in Berlin are best for early-stage B2B startups?,null
answer,Are there good hardware-friendly maker spaces or labs in Berlin for mobility startups doing prototype testing?,Erik Sandberg,mentor,mobility,B2B,mentor_matcher,EUREF Campus has dedicated lab and workshop space for mobility and energy hardwa,4.90
answer,Are there good hardware-friendly maker spaces or labs in Berlin for mobility startups doing prototype testing?,Jonas Reuter,champion,mobility,B2B,champion_matcher,Best options for hardware prototyping in Berlin: Fab Lab Berlin in Prenzlauer Be,4.80
answer,Are there good hardware-friendly maker spaces or labs in Berlin for mobility startups doing prototype testing?,Hana Okafor,mentor,mobility,B2B,mentor_matcher,We used Fab Lab Berlin for early prototyping. The community is helpful and the e,4.60
question,Are there good hardware-friendly maker spaces or labs in Berlin for mobility startups doing prototype testing?,Kwame Asante,founder,mobility,B2B,null,Are there good hardware-friendly maker spaces or labs in Berlin for mobility sta,null
answer,We need to register a company vehicle in Berlin for our hardware prototype. What is the fastest way to do this as a GmbH?,Dr. Lena Vogt,champion,mobility,B2B,champion_matcher,"From a tax perspective: a GmbH company vehicle is fully deductible but triggers ",4.80
answer,We need to register a company vehicle in Berlin for our hardware prototype. What is the fastest way to do this as a GmbH?,Dr. Lena Vogt,champion,mobility,B2B,champion_matcher,Register at the Kfz-Zulassungsstelle Berlin — there are locations in Tempelhof a,4.70
answer,We need to register a company vehicle in Berlin for our hardware prototype. What is the fastest way to do this as a GmbH?,Tomas Berg,mentor,mobility,B2B,mentor_matcher,We registered two vehicles for our GmbH. The Tempelhof Zulassungsstelle is faste,4.50
question,We need to register a company vehicle in Berlin for our hardware prototype. What is the fastest way to do this as a GmbH?,Kwame Asante,founder,mobility,B2B,null,We need to register a company vehicle in Berlin for our hardware prototype. What,null
answer,"What Berlin networking events bring together mobility founders, corporates like BVG or Siemens, and investors in the same room?",Erik Sandberg,mentor,mobility,B2B,mentor_matcher,"The BVG Innovation Night (quarterly, Berlin) consistently brings together BVG pr",4.80
answer,"What Berlin networking events bring together mobility founders, corporates like BVG or Siemens, and investors in the same room?",Erik Sandberg,mentor,mobility,B2B,mentor_matcher,The EUREF Campus open days are underrated for this. They happen 3–4 times a year,4.70
answer,"What Berlin networking events bring together mobility founders, corporates like BVG or Siemens, and investors in the same room?",Marek Sliwinski,champion,mobility,B2B,champion_matcher,"For warm introductions to BVG and Siemens specifically, the Urban Innovation Hub",4.60
question,"What Berlin networking events bring together mobility founders, corporates like BVG or Siemens, and investors in the same room?",Kwame Asante,founder,mobility,B2B,null,"What Berlin networking events bring together mobility founders, corporates like ",null
answer,Which Berlin mobility or smart city accelerators are worth applying to for a Seed-stage startup?,Erik Sandberg,mentor,mobility,B2B,mentor_matcher,The EUREF Campus in Schöneberg is the physical hub of Berlin mobility innovation,4.90
answer,Which Berlin mobility or smart city accelerators are worth applying to for a Seed-stage startup?,Marek Sliwinski,champion,mobility,B2B,champion_matcher,Strongly recommend: Urban Innovation Hub Berlin (run in partnership with the Sen,4.80
answer,Which Berlin mobility or smart city accelerators are worth applying to for a Seed-stage startup?,Erik Sandberg,mentor,mobility,B2B,mentor_matcher,Also look at Techstars Berlin — they run a mobility-adjacent cohort and have str,4.50
question,Which Berlin mobility or smart city accelerators are worth applying to for a Seed-stage startup?,Kwame Asante,founder,mobility,B2B,null,Which Berlin mobility or smart city accelerators are worth applying to for a See,null
answer,"I am building a property management SaaS targeting mid-size German landlords. In Berlin, the obvious early targets are the large Wohnungsgesellschaften like Degewo or Gewobag. Has anyone cracked enterprise sales into these organisations and can share how procurement actually works there?",Armin Schäfer,champion,proptech,B2B SaaS,champion_matcher,Degewo and Gewobag are both semi-public entities and their procurement follows p,4.90
answer,"I am building a property management SaaS targeting mid-size German landlords. In Berlin, the obvious early targets are the large Wohnungsgesellschaften like Degewo or Gewobag. Has anyone cracked enterprise sales into these organisations and can share how procurement actually works there?",Hana Novotná,mentor,proptech,B2B SaaS,mentor_matcher,"Having structured enterprise pilots for large semi-public organisations before, ",4.80
answer,"I am building a property management SaaS targeting mid-size German landlords. In Berlin, the obvious early targets are the large Wohnungsgesellschaften like Degewo or Gewobag. Has anyone cracked enterprise sales into these organisations and can share how procurement actually works there?",Erik Sandberg,mentor,proptech,B2B SaaS,mentor_matcher,Armin's point about the pilot framing is exactly right. I would add: the digital,4.70
question,"I am building a property management SaaS targeting mid-size German landlords. In Berlin, the obvious early targets are the large Wohnungsgesellschaften like Degewo or Gewobag. Has anyone cracked enterprise sales into these organisations and can share how procurement actually works there?",Florian Kemper,founder,proptech,B2B SaaS,null,I am building a property management SaaS targeting mid-size German landlords. In,null
answer,Is the Berlin Senat startup support program Projekt Zukunft worth engaging with at pre-seed?,Erik Sandberg,mentor,proptech,B2B,mentor_matcher,I engaged with them for a mobility pilot with BVG. The Senate connection was gen,4.70
answer,Is the Berlin Senat startup support program Projekt Zukunft worth engaging with at pre-seed?,Priya Nandakumar,champion,proptech,B2B,champion_matcher,Projekt Zukunft is useful primarily for networking and visibility — they run eve,4.50
answer,Is the Berlin Senat startup support program Projekt Zukunft worth engaging with at pre-seed?,Lukas Brandt,mentor,proptech,B2B,mentor_matcher,"At pure pre-seed with no product, the ROI of your time engaging with Projekt Zuk",4.40
question,Is the Berlin Senat startup support program Projekt Zukunft worth engaging with at pre-seed?,Florian Kemper,founder,proptech,B2B,null,"Is the Berlin Senat startup support program Projekt Zukunft worth engaging with ",null
answer,We are based in Neukölln and looking for a Steuerberater who understands startup equity and ESOP. Any recommendations in Berlin?,Dr. Lena Vogt,champion,proptech,B2B,champion_matcher,"For ESOP and VSOP structuring specifically, I recommend Acconsis Berlin or WTS A",4.90
answer,We are based in Neukölln and looking for a Steuerberater who understands startup equity and ESOP. Any recommendations in Berlin?,Yara Demir,mentor,proptech,B2B,mentor_matcher,"We use a Steuerberater from Mitte even though we are in Kreuzberg — it makes no ",4.70
answer,We are based in Neukölln and looking for a Steuerberater who understands startup equity and ESOP. Any recommendations in Berlin?,Dr. Lena Vogt,champion,proptech,B2B,champion_matcher,Heuking and Linklaters have startup teams in Berlin that handle the legal side o,4.40
question,We are based in Neukölln and looking for a Steuerberater who understands startup equity and ESOP. Any recommendations in Berlin?,Florian Kemper,founder,proptech,B2B,null,We are based in Neukölln and looking for a Steuerberater who understands startup,null
answer,What is the process for applying to the IBB Gründungskredit in Berlin and how long does it take?,Priya Nandakumar,champion,proptech,B2B,champion_matcher,"The IBB Gründungskredit goes through your Hausbank, not directly through IBB. Yo",4.90
answer,What is the process for applying to the IBB Gründungskredit in Berlin and how long does it take?,Tomas Berg,mentor,proptech,B2B,mentor_matcher,"We went through Sparkasse Berlin. The relationship manager matters enormously — ",4.80
answer,What is the process for applying to the IBB Gründungskredit in Berlin and how long does it take?,Dr. Lena Vogt,champion,proptech,B2B,champion_matcher,"From a financial structuring perspective: the IBB loan counts as debt, not equit",4.60
question,What is the process for applying to the IBB Gründungskredit in Berlin and how long does it take?,Florian Kemper,founder,proptech,B2B,null,What is the process for applying to the IBB Gründungskredit in Berlin and how lo,null
answer,Which Berlin notary has the shortest waiting times for GmbH formation right now?,Dr. Lena Vogt,champion,proptech,B2B,champion_matcher,Notariat Mitte on Französische Strasse and Notar Tobias Reuter in Charlottenburg,4.80
answer,Which Berlin notary has the shortest waiting times for GmbH formation right now?,Tomas Berg,mentor,proptech,B2B,mentor_matcher,We got an appointment at Notariat Schöneberg within 5 days by calling first thin,4.60
answer,Which Berlin notary has the shortest waiting times for GmbH formation right now?,Dr. Lena Vogt,champion,proptech,B2B,champion_matcher,Some Berlin startup lawyers have standing relationships with notaries and can ge,4.30
question,Which Berlin notary has the shortest waiting times for GmbH formation right now?,Florian Kemper,founder,proptech,B2B,null,Which Berlin notary has the shortest waiting times for GmbH formation right now?,null
answer,How do I set up payroll for my first two employees in Germany?,Marek Sliwinski,champion,saas,B2B SaaS,champion_matcher,You need to register with the Finanzamt for payroll tax (Lohnsteuer) and with th,4.70
answer,How do I set up payroll for my first two employees in Germany?,Tomas Berg,mentor,saas,B2B SaaS,mentor_matcher,Do not forget the Berufsgenossenschaft registration — it is mandatory accident i,4.60
answer,How do I set up payroll for my first two employees in Germany?,Hana Okafor,mentor,saas,B2B SaaS,mentor_matcher,We used Personio for HR and our Steuerberater handled the actual payroll runs. F,4.40
question,How do I set up payroll for my first two employees in Germany?,Maya Chen,founder,saas,B2B SaaS,null,How do I set up payroll for my first two employees in Germany?,null
answer,"We are at 18 paying customers at around €8K ACV. Every enterprise prospect wants a custom quote. At what point does it make sense to move to transparent, tiered pricing on the website, and how do you manage the existing customer base when you do?",Oluwaseun Adeyemi,mentor,saas,Enterprise SaaS,mentor_matcher,"From a sales process perspective: the custom-quote model is actually giving you ",4.90
answer,"We are at 18 paying customers at around €8K ACV. Every enterprise prospect wants a custom quote. At what point does it make sense to move to transparent, tiered pricing on the website, and how do you manage the existing customer base when you do?",Jonas Breitner,mentor,saas,Enterprise SaaS,mentor_matcher,The trigger for moving to transparent pricing is usually when the custom-quote p,4.80
question,"We are at 18 paying customers at around €8K ACV. Every enterprise prospect wants a custom quote. At what point does it make sense to move to transparent, tiered pricing on the website, and how do you manage the existing customer base when you do?",Nikolai Petrov,founder,saas,Enterprise SaaS,null,We are at 18 paying customers at around €8K ACV. Every enterprise prospect wants,null
answer,"We are building a B2B AI SaaS where LLM inference is core to the product. As we scale from pilot to production, token costs and latency are starting to hurt. How have other AI founders managed the build-vs-optimise tradeoff here — do you fine-tune, cache aggressively, switch models, or something else?",Nadja Becker,mentor,saas,B2B SaaS,mentor_matcher,This is the core infrastructure question for every AI SaaS company right now. Th,4.90
answer,"We are building a B2B AI SaaS where LLM inference is core to the product. As we scale from pilot to production, token costs and latency are starting to hurt. How have other AI founders managed the build-vs-optimise tradeoff here — do you fine-tune, cache aggressively, switch models, or something else?",Ben Ostrowski,champion,saas,B2B SaaS,champion_matcher,"Nadja's layered approach is exactly the right framework. Adding the engineering ",4.80
question,"We are building a B2B AI SaaS where LLM inference is core to the product. As we scale from pilot to production, token costs and latency are starting to hurt. How have other AI founders managed the build-vs-optimise tradeoff here — do you fine-tune, cache aggressively, switch models, or something else?",Maya Chen,founder,saas,B2B SaaS,null,"We are building a B2B AI SaaS where LLM inference is core to the product. As we ",null
answer,We are pre-seed and got our first term sheet. What should I watch out for before signing?,Dr. Lena Vogt,champion,saas,B2B SaaS,champion_matcher,"At pre-seed the term sheet should be simple. If it is longer than 5 pages, ask w",4.90
answer,We are pre-seed and got our first term sheet. What should I watch out for before signing?,Dr. Lena Vogt,champion,saas,B2B SaaS,champion_matcher,Key things to scrutinise: liquidation preferences (1x non-participating is stand,4.80
answer,We are pre-seed and got our first term sheet. What should I watch out for before signing?,Lukas Brandt,mentor,saas,B2B SaaS,mentor_matcher,I have signed two term sheets. My biggest lesson: do not rush. Investors who pre,4.60
question,We are pre-seed and got our first term sheet. What should I watch out for before signing?,Maya Chen,founder,saas,B2B SaaS,null,We are pre-seed and got our first term sheet. What should I watch out for before,null
answer,What is the fastest way to form a GmbH in Berlin as a non-German founder?,Dr. Lena Vogt,champion,saas,B2B SaaS,champion_matcher,The fastest route is using a notary-certified Musterprotokoll (standard template,4.90
answer,What is the fastest way to form a GmbH in Berlin as a non-German founder?,Tomas Berg,mentor,saas,B2B SaaS,mentor_matcher,We used a Musterprotokoll and it took us about 3 weeks end to end. The bottlenec,4.70
answer,What is the fastest way to form a GmbH in Berlin as a non-German founder?,Lukas Brandt,mentor,saas,B2B SaaS,mentor_matcher,"If speed is critical, some founders operate as a GbR or UG first and convert lat",4.20
question,What is the fastest way to form a GmbH in Berlin as a non-German founder?,Maya Chen,founder,saas,B2B SaaS,null,What is the fastest way to form a GmbH in Berlin as a non-German founder?,null
answer,Which tax advisor in Berlin is good for VC-backed startups and handles DATEV?,Marek Sliwinski,champion,saas,B2B SaaS,champion_matcher,"I recommend TaxPilot and Acconsis — both handle DATEV, payroll, and investor rep",5.00
answer,Which tax advisor in Berlin is good for VC-backed startups and handles DATEV?,Tomas Berg,mentor,saas,B2B SaaS,mentor_matcher,"We use Awicontax. Very startup-friendly, responsive on Slack, and they handle ev",4.80
answer,Which tax advisor in Berlin is good for VC-backed startups and handles DATEV?,Tomas Berg,mentor,saas,B2B SaaS,mentor_matcher,"Also check out Founders Bay and Voldtax — both have strong startup practices in ",4.30
question,Which tax advisor in Berlin is good for VC-backed startups and handles DATEV?,Maya Chen,founder,saas,B2B SaaS,null,Which tax advisor in Berlin is good for VC-backed startups and handles DATEV?,null
